town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Little Rissington,Dikler,1029TH,0.347,51.874767,0.068,-1.740083,Bourton Dickler
Surfleet Seas End,River Glen,E2043,0.895,52.845991,0.15,-0.100848,Surfleet Sluice
Kingsbury Episcopi,River Parrett,52119,0.971,50.976043,0.231,-2.793549,Gaw Bridge
Hemingford Grey,River Ouse,E21136,0.32,52.323618,0.141,-0.101287,Hemingford
Swindon,Smestow Brook,2067,1.336,52.51274,1.044,-2.205945,Swindon
Penryn,Praze Stream,48143,1.56,50.172659,0.81,-5.109416,Penryn Trelawney Park
Bilsborrow,Brock,720215,1,53.858854,0.103,-2.743276,A6 Bridge
West Grinstead,Adur,E9250,0.95,50.965045,0.046,-0.323238,Hatterell Bridge
Netherside Hall,River Wharfe,F1906,3,54.080705,0.3,-2.024779,Netherside Hall
Ardingly,Ouse [So],E8266,0.6,51.038451,0.12,-0.100268,Ardingly
Letcombe Regis,Letcombe Brook,1771TH,0.099,51.571482,0.02,-1.449342,Letcombe Regis
Winterbourne,Bradley Brook,531118,0.464,51.521892,0.03,-2.521122,Bradley Bridge
Lovington,River Brue,52207,1.9,51.083697,0.078,-2.586936,Lovington
Goulceby,Bain,E1147,0.35,53.296901,0.019,-0.131922,Goulceby
Northern Moor,Baguley Brook,693115,0.267,53.407591,0.099,-2.294665,Northern Moor
Manchester,Irk,690611,0.287,53.493682,0.12,-2.229815,Collyhurst Weir
Haslingfield,River Rhee,E21720,0.4,52.151539,0.074,0.067146,Haslingfield Burnt Mill
Pinner,Pinn,2804TH,1,51.589297,0.288,-0.381167,"Pinner, Eastcote Road"
Pickering,Pickering Beck,L2517,1,54.246819,0.02,-0.777611,Pickering
Chineham,Petty's Brook,2406TH,1.25,51.296962,0.258,-1.056426,Chineham
Leagrave,Lee (Upper),4615TH,0.9,51.908463,0.015,-0.46427,"Luton, Toddington Road"
Salisbury,River Avon,43165,0.48,51.076527,0.103,-1.803528,Salisbury Ashley Road
Yeaton,River Perry,2020,0.7,52.76777,0.106,-2.839715,Yeaton
Kingston Upon Thames,Thames,3400TH,5,51.415005,3.49,-0.308869,Kingston
Addingham,River Wharfe,L1931,1,53.944393,0.086,-1.886441,"Addingham, Town Beck"
Standlake,Windrush,1090_w2TH,0.349,51.713499,0.004,-1.420988,Newbridge Weir B
Litton Cheney,Litton Cheney Stream,44112,0.5,50.710758,0.094,-2.638832,Litton Cheney
Redesmouth,River Rede,023008,2,55.142955,0.205,-2.208614,Rede Bridge
Rochdale,Rochdale ETW,690203,1.23,53.611067,0.098,-2.178685,Rochdale ETW
Elkesley,River Poulter,4036,1.42,53.26962,0.162,-0.952008,Twyford Bridge
Harbertonford,River Harbourne,46128,0.496,50.393426,0.023,-3.73051,Rolster Bridge
Bragbury End,Stevenage Brook,4827TH,0.65,51.874477,0.053,-0.149495,Bragbury Park
Lugwardine,Lugg,055003_TG 316,2.4,52.061919,0.153,-2.659977,Lugwardine
Ryther,River Wharfe,L2011,6.5,53.851463,2,-1.157804,Fleet Pumping Station
Darfield,River Dearne,L08015,3.06,53.536358,0.331,-1.366253,Darfield Bridge
Stroud,Slad Brook,2206,0.35,51.746918,0.21,-2.217953,Merrywalks
Great Glen,River Sence (Soar),4161,1.22,52.574167,0.77,-1.035067,Great Glen
Prestbury,Bollin,693426,1.26,53.289231,0.247,-2.148611,Prestbury
"Victoria Bridge, Kendal",River Kent,730506,1.578,54.330571,1.032,-2.742287,Victoria Bridge - New
Bitton,River Boyd,53131,0.399,51.426965,0.108,-2.459703,Bitton
Wimborne Minster,River Allen,43216,0.546,50.805852,0.092,-1.990007,Walford Mill
Dawlish,Dawlish Water,45171,0.334,50.580497,0.123,-3.472207,Dawlish
Sudbury,River Dove,4124,1.555,52.877141,0.384,-1.759128,Aston Bridge
Claypole,Upper Witham - South,E2901,0.62,53.022669,0.11,-0.746145,Claypole
Little Alne,River Alne,2095,1.329,52.247533,0.897,-1.793996,Little Alne
Alwinton,River Coquet,022014,1.6,55.343453,0.223,-2.124525,Alwinton Bridge
Heacham,Heacham River,E21127,0.133,52.908305,0.02,0.504442,Heacham
Rewe,River Culm,45134,1.154,50.782406,0.239,-3.496159,Rewe
Kirkburton,Dean Bottom Beck,L1115,0.72,53.609746,0.012,-1.703248,Kirkburton Riley Lane
Brigg,Ancholme,E2790,2.38,53.550068,0.482,-0.501979,Brigg
North America,Market Weighton Canel,L3404,1.5,53.7781,-0.518,-0.713178,North America
Romanby,Willow Beck,L2322,1.2,54.336424,0.029,-1.45074,Romanby
Hungerford,River Shalbourne,2241TH,0.21,51.412847,0.043,-1.526019,Hungerford Shalbourne
Temple Sowerby,Eden,760502,3.3,54.648336,0.2,-2.614388,Temple Sowerby
Colden Common,Itchen,E12442,0.75,50.990287,0.259,-1.335564,Highbridge weir
Walthamstow,Lee (Lower),5380TH,1,51.574894,0.014,-0.043637,"Walthamstow, Low Hall"
Carlisle,Caldew,765045,2.7,54.885739,0.013,-2.937513,Denton Holme
Sinnington,River Seven,L2545,1.3,54.262449,0.102,-0.859287,Sinnington
Worsbrough,River Dove,F0815,0.295,53.526193,0.08,-1.473913,Worsbrough
Hall Dunnerdale,Duddon,740101,1.5,54.341859,0.244,-3.218047,Ulpha
Sleaford,Slea,E4411,0.382,52.998853,0.244,-0.408576,Slea Tilting Gate
Bristol Harbour Passage Street,Bristol Frome,531109,0.205,51.45411,0.075,-2.586653,Bristol Harbour Passage Street
Copley,River Calder,L1203,3.8,53.69804,1.68,-1.873139,Copley Bridge
Denham,Colne,2870TH,0.4,51.56631,0.11,-0.483905,Denham Colne
Lenton,River Leen,4435,1,52.948176,0.08,-1.183337,Lenton
Worcester,River Severn,2642,3.35,52.206967,0.548,-2.235272,Worcester (Barbourne)
Allendale Town,River East Allen,023036,1.8,54.903814,0.157,-2.265076,Allen Mill Bridge
,,47140,unknown,50.69694838741934,unknown,-4.511858769507271,CANWORTHY WATER BRIDGE
Scotter,River Eau,4064,1.75,53.498488,0.094,-0.664311,Scotter
Eamont Bridge,River Eamont,761659,1.7,54.651055,0.35,-2.743236,Eamont Bridge Farm
Salwarpe,River Salwarpe,2011,2,52.255374,0.189,-2.193909,Harford Hill
Mitchell Wyke Ferry Bay,Lake Windermere,735225,0.993,54.352722,0.228,-2.940028,Far Sawrey
Kirk Hammerton,River Nidd,F2102,2.36,53.998678,0.218,-1.266199,Skip Bridge
